"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	23	4430141	0.5
	"Alabama"	"01"	"2000"	"2000"	14	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	22	4467634	0.5
	"Alabama"	"01"	"2002"	"2002"	14	4480089	Unreliable
	"Alabama"	"01"	"2004"	"2004"	10	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	10	4569805	Unreliable
	"Alabama"	"01"	"2006"	"2006"	10	4628981	Unreliable
	"Alabama"	"01"	"2008"	"2008"	15	4718206	Unreliable
	"Alabama"	"01"	"2009"	"2009"	12	4757938	Unreliable
	"Alabama"	"01"	"2010"	"2010"	14	4779736	Unreliable
	"Alabama"	"01"	"2012"	"2012"	16	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	19	4833722	Unreliable
	"Alabama"	"01"	"2014"	"2014"	13	4849377	Unreliable
	"Alabama"	"01"	"2015"	"2015"	24	4858979	0.5
	"Alabama"	"01"	"2016"	"2016"	21	4863300	0.4
	"Alabama"	"01"	"2017"	"2017"	17	4874747	Unreliable
	"Alabama"	"01"	"2018"	"2018"	22	4887871	0.5
	"Alabama"	"01"	"2019"	"2019"	27	4903185	0.6
	"Alabama"	"01"	"2020 "	"2020"	28	4921532	0.6
	"Arizona"	"04"	"1999"	"1999"	13	5023823	Unreliable
	"Arizona"	"04"	"2000"	"2000"	17	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	13	5273477	Unreliable
	"Arizona"	"04"	"2002"	"2002"	12	5396255	Unreliable
	"Arizona"	"04"	"2003"	"2003"	11	5510364	Unreliable
	"Arizona"	"04"	"2004"	"2004"	19	5652404	Unreliable
	"Arizona"	"04"	"2005"	"2005"	10	5839077	Unreliable
	"Arizona"	"04"	"2006"	"2006"	19	6029141	Unreliable
	"Arizona"	"04"	"2007"	"2007"	15	6167681	Unreliable
	"Arizona"	"04"	"2009"	"2009"	20	6343154	0.3
	"Arizona"	"04"	"2010"	"2010"	25	6392017	0.4
	"Arizona"	"04"	"2011"	"2011"	20	6482505	0.3
	"Arizona"	"04"	"2012"	"2012"	18	6553255	Unreliable
	"Arizona"	"04"	"2013"	"2013"	21	6626624	0.3
	"Arizona"	"04"	"2014"	"2014"	18	6731484	Unreliable
	"Arizona"	"04"	"2015"	"2015"	31	6828065	0.5
	"Arizona"	"04"	"2016"	"2016"	26	6931071	0.4
	"Arizona"	"04"	"2017"	"2017"	34	7016270	0.5
	"Arizona"	"04"	"2018"	"2018"	37	7171646	0.5
	"Arizona"	"04"	"2019"	"2019"	37	7278717	0.5
