"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	1440	4430141	32.5
	"Alabama"	"01"	"2000"	"2000"	1601	4447100	36.0
	"Alabama"	"01"	"2001"	"2001"	1802	4467634	40.3
	"Alabama"	"01"	"2002"	"2002"	1911	4480089	42.7
	"Alabama"	"01"	"2003"	"2003"	2019	4503491	44.8
	"Alabama"	"01"	"2004"	"2004"	2125	4530729	46.9
	"Alabama"	"01"	"2005"	"2005"	2344	4569805	51.3
	"Alabama"	"01"	"2006"	"2006"	2368	4628981	51.2
	"Alabama"	"01"	"2007"	"2007"	2450	4672840	52.4
	"Alabama"	"01"	"2008"	"2008"	2490	4718206	52.8
	"Alabama"	"01"	"2009"	"2009"	2538	4757938	53.3
	"Alabama"	"01"	"2010"	"2010"	2539	4779736	53.1
	"Alabama"	"01"	"2011"	"2011"	2533	4802740	52.7
	"Alabama"	"01"	"2012"	"2012"	2457	4822023	51.0
	"Alabama"	"01"	"2013"	"2013"	2591	4833722	53.6
	"Alabama"	"01"	"2014"	"2014"	3239	4849377	66.8
	"Alabama"	"01"	"2015"	"2015"	3828	4858979	78.8
	"Alabama"	"01"	"2016"	"2016"	4223	4863300	86.8
	"Alabama"	"01"	"2017"	"2017"	4286	4874747	87.9
	"Alabama"	"01"	"2018"	"2018"	4585	4887871	93.8
	"Alabama"	"01"	"2019"	"2019"	4873	4903185	99.4
	"Alabama"	"01"	"2020 "	"2020"	5443	4921532	110.6
"Total"	"Alabama"	"01"			63685	103604166	61.5
	"Alaska"	"02"	"1999"	"1999"	69	624779	11.0
	"Alaska"	"02"	"2000"	"2000"	115	626932	18.3
	"Alaska"	"02"	"2001"	"2001"	108	633714	17.0
	"Alaska"	"02"	"2002"	"2002"	116	642337	18.1
	"Alaska"	"02"	"2003"	"2003"	117	648414	18.0
	"Alaska"	"02"	"2004"	"2004"	108	659286	16.4
	"Alaska"	"02"	"2005"	"2005"	132	666946	19.8
	"Alaska"	"02"	"2006"	"2006"	161	675302	23.8
	"Alaska"	"02"	"2007"	"2007"	150	680300	22.0
	"Alaska"	"02"	"2008"	"2008"	162	687455	23.6
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.5
